"Year","Perpetrator.Age","Relationship","Weapon","Perpetrator.Sex"
2014,25,"Acquaintance","Knife","Female"
2014,34,"Stranger","Blunt Object","Male"
2014,18,"Acquaintance","Firearm","Male"
2014,23,"In-Law","Knife","Male"
2014,37,"Neighbor","Knife","Male"
2014,49,"Girlfriend","Blunt Object","Male"
2014,34,"Wife","Handgun","Male"
2014,18,"Stranger","Firearm","Male"
2014,17,"Stranger","Handgun","Female"
2014,35,"Stranger","Firearm","Male"
2014,29,"Stranger","Handgun","Male"
2014,46,"Stranger","Handgun","Male"
2014,16,"Stranger","Blunt Object","Male"
2014,38,"Husband","Handgun","Female"
2014,37,"Stranger","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,49,"Girlfriend","Strangulation","Male"
2014,29,"Friend","Firearm","Male"
2014,44,"Friend","Handgun","Male"
2014,43,"Wife","Blunt Object","Male"
2014,18,"Stranger","Knife","Male"
2014,40,"Stranger","Knife","Male"
2014,15,"Stranger","Knife","Male"
2014,74,"Family","Handgun","Male"
2014,37,"Girlfriend","Knife","Female"
2014,24,"Son","Rifle","Male"
2014,27,"Stranger","Rifle","Male"
2014,29,"Stranger","Handgun","Male"
2014,30,"Stranger","Handgun","Male"
2014,29,"Family","Knife","Male"
2014,18,"Girlfriend","Handgun","Male"
2014,25,"Husband","Blunt Object","Female"
2014,29,"Family","Knife","Male"
2014,24,"Stranger","Handgun","Male"
2014,17,"Father","Knife","Male"
2014,28,"Friend","Handgun","Male"
2014,28,"Friend","Handgun","Male"
2014,35,"Girlfriend","Drugs","Male"
2014,28,"Friend","Handgun","Male"
2014,25,"Girlfriend","Handgun","Male"
2014,47,"Acquaintance","Handgun","Male"
2014,26,"Acquaintance","Knife","Male"
2014,30,"Mother","Knife","Male"
2014,34,"Stranger","Shotgun","Male"
2014,36,"Stranger","Shotgun","Male"
2014,19,"Stranger","Knife","Female"
2014,22,"Family","Blunt Object","Male"
2014,23,"Acquaintance","Blunt Object","Male"
2014,58,"Stranger","Handgun","Male"
2014,47,"Mother","Knife","Male"
2014,30,"Stranger","Handgun","Male"
2014,27,"Stranger","Handgun","Male"
2014,21,"Stranger","Firearm","Male"
2014,23,"Stranger","Firearm","Male"
2014,18,"Stranger","Knife","Male"
2014,42,"Stranger","Handgun","Male"
2014,40,"Stranger","Handgun","Male"
2014,33,"Stranger","Knife","Male"
2014,38,"Acquaintance","Firearm","Male"
2014,39,"Friend","Knife","Male"
2014,18,"Stranger","Handgun","Male"
2014,56,"Acquaintance","Handgun","Male"
2014,41,"Acquaintance","Rifle","Male"
2014,51,"Girlfriend","Handgun","Male"
2014,32,"Stranger","Firearm","Male"
2014,21,"Friend","Firearm","Male"
2014,23,"Brother","Handgun","Male"
2014,44,"Friend","Blunt Object","Male"
2014,49,"In-Law","Firearm","Male"
2014,43,"Acquaintance","Gun","Male"
2014,32,"Stranger","Firearm","Male"
2014,49,"In-Law","Firearm","Male"
2014,25,"Stranger","Firearm","Male"
2014,45,"Acquaintance","Firearm","Male"
2014,22,"Stranger","Blunt Object","Male"
2014,43,"Acquaintance","Gun","Male"
2014,37,"Stranger","Firearm","Male"
2014,36,"Stranger","Handgun","Male"
2014,35,"Stranger","Handgun","Male"
2014,29,"Friend","Blunt Object","Male"
2014,44,"Brother","Handgun","Female"
2014,44,"Brother","Handgun","Female"
2014,44,"Brother","Handgun","Female"
2014,44,"Brother","Handgun","Female"
2014,25,"Stranger","Handgun","Male"
2014,33,"Stranger","Handgun","Male"
2014,19,"Stranger","Handgun","Male"
2014,35,"Stranger","Gun","Male"
2014,19,"Stranger","Firearm","Male"
2014,44,"Stranger","Handgun","Male"
2014,46,"Stranger","Rifle","Male"
2014,43,"Stranger","Handgun","Male"
2014,26,"Stranger","Firearm","Male"
2014,36,"Girlfriend","Knife","Male"
2014,44,"Stranger","Handgun","Male"
2014,16,"Stranger","Firearm","Male"
2014,38,"Stranger","Handgun","Male"
2014,32,"Acquaintance","Blunt Object","Male"
2014,50,"Family","Knife","Male"
2014,20,"Mother","Rifle","Male"
2014,71,"Ex-Wife","Knife","Male"
